device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNDH.3F;RNDH.3F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRPDZDH03L;192.168.88.189;502;monitor;;5;4
RNDH.5F;RNDH.5F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUDH04L;192.168.88.189;502;monitor;;5;4
RNDH.1K;RNDH.1K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRPDZDH09L;192.168.88.189;502;monitor;;5;4
RNDH.3K;RNDH.3K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRPDZDH10L;192.168.88.189;502;monitor;;5;4
RNDH.4K;RNDH.4K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRTUDH05L;192.168.88.189;502;monitor;;5;4
RNJS.2F;RNJS.2F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS20P;192.168.88.189;502;monitor;;5;4
RNJS.1G;RNJS.1G;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCR3DJS03P;192.168.88.189;502;monitor;;5;4
RNJS.2G;RNJS.2G;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRPDZJS02P;192.168.88.189;502;monitor;;5;4
RNJS.3G;RNJS.3G;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS404L;192.168.88.189;502;monitor;;5;4
RNJS.3H;RNJS.3H;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCR3DJS04L;192.168.88.189;502;monitor;;5;4
RNJS.1J;RNJS.1J;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS496L;192.168.88.189;502;monitor;;5;4
RNJS.2J;RNJS.2J;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUJS06P;192.168.88.189;502;monitor;;5;4
RNJS.2K;RNJS.2K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS405P;192.168.88.189;502;monitor;;5;4
RNJS.3K;RNJS.3K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUJS07P;192.168.88.189;502;monitor;;5;4
RNJS.4K;RNJS.4K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMBOJS04P;192.168.88.189;502;monitor;;5;4
RNJS.6K;RNJS.6K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS32P_2;192.168.88.189;502;monitor;;5;4
RNJS.1L;RNJS.1L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS33P_2;192.168.88.189;502;monitor;;5;4
RNJS.3L;RNJS.3L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS406P;192.168.88.189;502;monitor;;5;4
RNJS.2M;RNJS.2M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRTUJS08P;192.168.88.189;502;monitor;;5;4
RNJS.4M;RNJS.4M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRASDJS05P;192.168.88.189;502;monitor;;5;4
RNJS.3M;RNJS.3M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRASDJS05P;192.168.88.189;502;monitor;;7;6
RNJS.6M;RNJS.6M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS39P_2;192.168.88.189;502;monitor;;5;4
RNJS.8M;RNJS.8M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS407P;192.168.88.189;502;monitor;;5;4
RNJS.1N;RNJS.1N;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRTUJS09P;192.168.88.189;502;monitor;;5;4
RNJS.3N;RNJS.3N;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS42P_2;192.168.88.189;502;monitor;;5;4
RNJS.6N;RNJS.6N;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS45P_2;192.168.88.189;502;monitor;;5;4
RNJS.2P;RNJS.2P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS496P;192.168.88.189;502;monitor;;5;4
RNJS.3P;RNJS.3P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS408P;192.168.88.189;502;monitor;;5;4
RN406.1;RN406.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS400;192.168.88.189;502;monitor;;5;4
RNJS.3B;RNJS.3B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS401L;192.168.88.189;502;monitor;;5;4
RNJS.1C;RNJS.1C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS499L;192.168.88.189;502;monitor;;5;4
RNJS.2C;RNJS.2C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS08L_2;192.168.88.189;502;monitor;;5;4
RNJS.3C;RNJS.3C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUJS02L;192.168.88.189;502;monitor;;5;4
RNJS.2D;RNJS.2D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS402;192.168.88.189;502;monitor;;5;4
RNJS.7D;RNJS.7D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCTUJS03P;192.168.88.189;502;monitor;;5;4
RNJS.1E;RNJS.1E;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRASDJS02P;192.168.88.189;502;monitor;;5;4
RNJS.2E;RNJS.2E;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRJS15P;192.168.88.1892;502;monitor;;5;4
RNSR.2B;RNSR.2B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRSR02P;192.168.88.189;502;monitor;;5;4
