device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-EXT-ENT-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;62
INT-EXT-SAL-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;63
INT-Q27-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;86
INT-K02-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;88
INT-MANI-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;87
INT-SOL-IZQ-1-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;64
INT-SOL-IZQ-2-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;65
INT-SOL-IZQ-3-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;66
INT-SOL-IZQ-4-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;67
INT-NUB-IZQ-1-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;68
